1.01;38;448
1.02;449;859
1.03;860;867
1.04;868;1031
1.05;1032;1202
1.06;1203;1433
1.07;1434;1455
1.08;1456;1529
1.09;1530;1731
1.10;1733;1736
1.11;1737;2116
1.12;2122;2129
1.13;2130;2235
1.14;2236;2362
1.15;2363;2578
1.16;2580;2684
1.17;2690;3161
1.18;3162;3330
1.19a;3331;3482
1.19b;3487;3535
1.20a;3536;3644
1.20b;3645;3820
1.21;3821;3946
1.22;3947;4014
2.01;4017;4137
2.02;4139;4228
2.03;4230;4393
2.04;4397;4494
2.05;4495;4550
2.06;4551;4565
2.07;4566;4751
2.08a;4752;4785
2.08b;4794;4802
2.09;4803;4887
2.10;4888;4900
2.11;4901;5081
2.12;5082;5118
2.13;5119;5363
2.14;5372;5493
2.15;5494;5585
2.16;5586;5640
2.17;5641;5908
2.18;5911;5980
2.19;6330;6481
2.20;6484;6503
2.21;6504;6700
2.22;;
2.23;5981;6223
2.24;6224;6310
2.25;6704;6814
2.26;6815;7066
2.27;7073;7359
2.28;7360;7590
2.29;7591;7748
2.30;7749;8154
2.31;8155;8310
2.32;8312;8428
2.33a;8429;8460
2.33b;8461;8602
