1.01;113;513
1.02;519;922
1.03;931;938
1.04;939;1097
1.05;1099;1262
1.06;1263;1483
1.07;1487;1508
1.08;1509;1573
1.09;1574;1763
1.10;;
1.11;1765;2144
1.12;2148;2157
1.13;2158;2258
1.14;2259;2389
1.15;2390;2584
1.16;2587;2688
1.17;2691;3153
1.18;3154;3329
1.19a;3330;3483
1.19b;3484;3533
1.20a;3534;3640
1.20b;3641;3821
1.21;3822;3951
1.22;3952;4015
2.01;4022;4130
2.02;4134;4220
2.03;4221;4378
2.04;4381;4480
2.05;4481;4537
2.06;4538;4552
2.07;4553;4746
2.08a;4747;4782
2.08b;4783;4793
2.09;4794;4874
2.10;4875;4888
2.11;4889;5061
2.12;5063;5101
2.13;5102;5331
2.14;5335;5441
2.15;5442;5537
2.16;5538;5589
2.17;5590;5839
2.18;5841;5908
2.19;6223;6394
2.20;6395;6415
2.21;6416;6603
2.22;;
2.23;5909;6152
2.24;6153;6215
2.25;6605;6711
2.26;6712;6961
2.27;6964;7224
2.28;7225;7436
2.29;7437;7637
2.30;7639;7985
2.31;7986;8140
2.32;8150;8274
2.33a;8275;8313
2.33b;8314;8446
