1.01;33;458
1.02;459;858
1.03;859;872
1.04;873;1046
1.05;1047;1234
1.06;1235;1485
1.07;1486;1536
1.08;1537;1618
1.09;1619;1843
1.10;1844;1852
1.11;1853;2238
1.12;;
1.13;2241;2348
1.14;2349;2510
1.15;2511;2698
1.16;2699;2809
1.17;2810;3338
1.18;3340;3518
1.19a;3519;3658
1.19b;3659;3703
1.20a;3704;3804
1.20b;3805;4002
1.21;4003;4129
1.22;4130;4189
2.01;4190;4376
2.02;4377;4577
2.03;4578;4775
2.04;4777;4941
2.05;4942;4993
2.06;4994;5009
2.07;5010;5191
2.08a;5192;5252
2.08b;5255;5293
2.09;5294;5363
2.10;5364;5386
2.11;5387;5557
2.12;5558;5632
2.13;5634;5901
2.14;5907;6037
2.15;6038;6136
2.16;6137;6210
2.17;6211;6467
2.18;6468;6552
2.19;6553;6752
2.20;6754;6796
2.21;6797;6970
2.22;6971;7091
2.23;7092;7330
2.24;7331;7445
2.25;7446;7562
2.26;7563;7820
2.27;7821;8130
2.28;8131;8335
2.29;8336;8548
2.30;8552;8862
2.31;8863;9007
2.32;9008;9139
2.33a;9140;9173
2.33b;9174;9309
