1.01;306;702
1.02;710;1087
1.03;1095;1116
1.04;1117;1288
1.05;1289;1538
1.06;1541;1787
1.07;1799;1877
1.08;1882;1952
1.09;1954;2168
1.10;2179;2185
1.11;2186;2563
1.12;2570;2623
1.13;2624;2730
1.14;2734;2908
1.15;2909;3081
1.16;3093;3193
1.17;3194;3652
1.18;3653;3830
1.19a;3835;3983
1.19b;3987;4033
1.20a;4034;4140
1.20b;4143;4310
1.21;4311;4433
1.22;4434;4494
2.01;4503;4662
2.02;4663;4817
2.03;5001;5166
2.04;5190;5383
2.05;5384;5438
2.06;5439;5446
2.07;5447;5638
2.08a;5639;5671
2.08b;5697;5732
2.09;5733;5809
2.10;5811;5850
2.11;5851;6026
2.12;6041;6083
2.13;6084;6321
2.14;6351;6630
2.15;6633;6738
2.16;6739;6829
2.17;6831;7068
2.18;7105;7169
2.19;7172;7332
2.20;7334;7358
2.21;4818;4993
2.22;7364;7498
2.23;7499;7737
2.24;7738;7859
2.25;7877;7987
2.26;7988;8238
2.27;8245;8561
2.28;8563;8789
2.29;8790;8977
2.30;8988;9350
2.31;9352;9493
2.32;9504;9631
2.33a;9632;9661
2.33b;9662;9799
