1.01;22;459
1.02;460;860
1.03;872;885
1.04;886;1055
1.05;1071;1414
1.06;1415;1658
1.07;1659;1686
1.08;1687;1756
1.09;1757;1974
1.10;1982;1996
1.11;1997;2367
1.12;;
1.13;2384;2499
1.14;2500;2803
1.15;2804;3001
1.16;3023;3122
1.17;3123;3641
1.18;3642;3823
1.19a;3830;3969
1.19b;3976;4020
1.20a;4021;4127
1.20b;4128;4333
1.21;4334;4466
1.22;4467;4527
2.01;4546;4724
2.02;4725;4863
2.03;4864;5054
2.04;5083;5325
2.05;5326;5380
2.06;5381;5396
2.07;5397;5589
2.08a;5598;5668
2.08b;5689;5765
2.09;5766;5847
2.10;5848;5871
2.11;5872;6040
2.12;6059;6181
2.13;6182;6443
2.14;6483;6674
2.15;6675;6770
2.16;6771;6872
2.17;6873;7142
2.18;7143;7332
2.19;7333;7477
2.20;7478;7543
2.21;7544;7718
2.22;7719;7868
2.23;7869;8118
2.24;8133;8260
2.25;8282;8408
2.26;8409;8683
2.27;8740;9058
2.28;9059;9256
2.29;9257;9457
2.30;9460;9810
2.31;9811;9959
2.32;9965;10076
2.33a;10077;10107
2.33b;10108;10249
