1.01;128;528
1.02;529;922
1.03;929;937
1.04;938;1085
1.05;1089;1232
1.06;1235;1468
1.07;1469;1488
1.08;1489;1559
1.09;1560;1758
1.10;;
1.11;1762;2115
1.12;2131;2143
1.13;2144;2240
1.14;2242;2352
1.15;2353;2540
1.16;2545;2651
1.17;2652;3098
1.18;3099;3267
1.19a;3268;3400
1.19b;3401;3444
1.20a;3445;3539
1.20b;3540;3696
1.21;3697;3814
1.22;3815;3873
2.01;3876;3991
2.02;3995;4097
2.03;4098;4253
2.04;4258;4345
2.05;4346;4399
2.06;4400;4410
2.07;4411;4585
2.08a;4586;4615
2.08b;4616;4632
2.09;4633;4710
2.10;4711;4723
2.11;4724;4900
2.12;4903;4938
2.13;4939;5146
2.14;5157;5259
2.15;5261;5350
2.16;5355;5395
2.17;5396;5645
2.18;5649;5696
2.19;6007;6174
2.20;6175;6195
2.21;6196;6364
2.22;;
2.23;5697;5905
2.24;5911;5974
2.25;6372;6477
2.26;6478;6703
2.27;6716;6984
2.28;6985;7186
2.29;7190;7376
2.30;7377;7677
2.31;7678;7822
2.32;7830;7935
2.33a;7936;7968
2.33b;7969;8096
